ensembl_id,gene_symbol,alias,alias_norm,source
ENSG00000291379,SZRD1,DKFZP566C0424,dkfzp566c0424,ensembl:human
ENSG00000291401,SPATA21,SPERGEN-2,spergen2,ensembl:human
ENSG00000291380,NECAP2,FLJ10420,flj10420,ensembl:human
ENSG00000291388,LINC01772,ENSG00000226029,ensg00000226029,ensembl:human
ENSG00000291402,CROCCP3,CROCCL2,croccl2,ensembl:human
ENSG00000291402,CROCCP3,dJ798A10.2,dj798a102,ensembl:human
ENSG00000291402,CROCCP3,KIAA1922,kiaa1922,ensembl:human
ENSG00000291389,RNU1-1,HSD1,hsd1,ensembl:human
ENSG00000291389,RNU1-1,HU1-1,hu11,ensembl:human
ENSG00000291389,RNU1-1,RNU1,rnu1,ensembl:human
ENSG00000291389,RNU1-1,RNU1A,rnu1a,ensembl:human
ENSG00000291389,RNU1-1,RNU1A1,rnu1a1,ensembl:human
ENSG00000291389,RNU1-1,RNU1A3,rnu1a3,ensembl:human
ENSG00000291389,RNU1-1,RNU1G4,rnu1g4,ensembl:human
ENSG00000291389,RNU1-1,U1,u1,ensembl:human
ENSG00000291389,RNU1-1,U1A1,u1a1,ensembl:human
ENSG00000291393,RNU1-6P,RNU1-6,rnu16,ensembl:human
ENSG00000291385,RNU1-2,RNU1C1,rnu1c1,ensembl:human
ENSG00000291385,RNU1-2,RNU1C2,rnu1c2,ensembl:human
ENSG00000291385,RNU1-2,U1C1,u1c1,ensembl:human
ENSG00000291385,RNU1-2,U1C21,u1c21,ensembl:human
ENSG00000291383,RNU1-5P,RNU1-5,rnu15,ensembl:human
ENSG00000285019,ELOCP5,TCEB1P5,tceb1p5,ensembl:human
ENSG00000291398,EIF1AXP1,EIF1AP1,eif1ap1,ensembl:human
ENSG00000291396,RNU1-3,HSD4,hsd4,ensembl:human
ENSG00000291396,RNU1-3,RNU1G3,rnu1g3,ensembl:human
ENSG00000291399,RNU1-4,HSD2,hsd2,ensembl:human
ENSG00000291399,RNU1-4,HSD5,hsd5,ensembl:human
ENSG00000291399,RNU1-4,HSD6,hsd6,ensembl:human
ENSG00000291399,RNU1-4,HSD7,hsd7,ensembl:human
ENSG00000291399,RNU1-4,RNU1D2,rnu1d2,ensembl:human
ENSG00000291399,RNU1-4,RNU1E2,rnu1e2,ensembl:human
ENSG00000291399,RNU1-4,RNU1F1,rnu1f1,ensembl:human
ENSG00000291399,RNU1-4,RNU1G1,rnu1g1,ensembl:human
ENSG00000291399,RNU1-4,RNU1G2,rnu1g2,ensembl:human
ENSG00000291399,RNU1-4,U1B2,u1b2,ensembl:human
ENSG00000291399,RNU1-4,U1D2,u1d2,ensembl:human
ENSG00000291399,RNU1-4,U1E2,u1e2,ensembl:human
ENSG00000291399,RNU1-4,U1F,u1f,ensembl:human
ENSG00000291387,PADI2,KIAA0994,kiaa0994,ensembl:human
ENSG00000291387,PADI2,PDI2,pdi2,ensembl:human
ENSG00000285477,OFD1P16Y,OFD1P16,ofd1p16,ensembl:human
ENSG00000285477,OFD1P16Y,OFD1PY16,ofd1py16,ensembl:human
ENSG00000285477,OFD1P16Y,OFDYP16,ofdyp16,ensembl:human
ENSG00000291470,PTP4A3,PRL-3,prl3,ensembl:human
ENSG00000291470,PTP4A3,PRL-R,prlr,ensembl:human
ENSG00000291473,MROH5,FLJ43860,flj43860,ensembl:human
ENSG00000292225,NBPF1,FLJ20719,flj20719,ensembl:human
ENSG00000292225,NBPF1,KIAA1693,kiaa1693,ensembl:human
ENSG00000292337,DHRSX-IT1,DHRSX-IT,dhrsxit,ensembl:human
ENSG00000292337,DHRSX-IT1,DHRSXIT1,dhrsxit1,ensembl:human
ENSG00000292338,DHRSX,DHRS5X,dhrs5x,ensembl:human
ENSG00000292338,DHRSX,DHRS5Y,dhrs5y,ensembl:human
ENSG00000292338,DHRSX,DHRSXY,dhrsxy,ensembl:human
ENSG00000292338,DHRSX,DHRSY,dhrsy,ensembl:human
ENSG00000292338,DHRSX,SDR46C1,sdr46c1,ensembl:human
ENSG00000292338,DHRSX,SDR7C6,sdr7c6,ensembl:human
ENSG00000293604,ORAI1,CRACM1,cracm1,ensembl:human
ENSG00000293604,ORAI1,FLJ14466,flj14466,ensembl:human
ENSG00000293604,ORAI1,TMEM142A,tmem142a,ensembl:human
ENSG00000292342,LINC00685,CXYORF10,cxyorf10,ensembl:human
ENSG00000292342,LINC00685,NCRNA00107,ncrna00107,ensembl:human
ENSG00000292342,LINC00685,OTTHUMT00000055574,otthumt00000055574,ensembl:human
ENSG00000292342,LINC00685,PPP2R3B-AS1,ppp2r3bas1,ensembl:human
ENSG00000292346,MIR6089,HSA-MIR-6089-1,hsamir60891,ensembl:human
ENSG00000292346,MIR6089,MIR6089-1,mir60891,ensembl:human
ENSG00000292346,MIR6089,MIR6089-2,mir60892,ensembl:human
ENSG00000292347,LINC00102,NCRNA00102,ncrna00102,ensembl:human
ENSG00000292347,LINC00102,OTTHUMT00000055623,otthumt00000055623,ensembl:human
ENSG00000292352,FABP5P13,FABP5L13,fabp5l13,ensembl:human
ENSG00000292354,SHOX,GCFX,gcfx,ensembl:human
ENSG00000292354,SHOX,PHOG,phog,ensembl:human
ENSG00000292354,SHOX,SHOX1,shox1,ensembl:human
ENSG00000292354,SHOX,SHOXY,shoxy,ensembl:human
ENSG00000292354,SHOX,SS,ss,ensembl:human
ENSG00000292355,MIR3690,HSA-MIR-3690,hsamir3690,ensembl:human
ENSG00000292355,MIR3690,HSA-MIR-3690-2,hsamir36902,ensembl:human
ENSG00000292355,MIR3690,MIR3690-1,mir36901,ensembl:human
ENSG00000292355,MIR3690,MIR3690-2,mir36902,ensembl:human
ENSG00000292356,RNA5SP498,RN5S498,rn5s498,ensembl:human
ENSG00000292361,CD99P1,CD99L1,cd99l1,ensembl:human
ENSG00000292361,CD99P1,CXYORF12,cxyorf12,ensembl:human
ENSG00000292361,CD99P1,MIC2R,mic2r,ensembl:human
ENSG00000292361,CD99P1,NCRNA00103,ncrna00103,ensembl:human
ENSG00000292363,CRLF2,CRL2,crl2,ensembl:human
